Query #,Binary euclidean - precision,Binary cosine - precision,Binary euclidean - recall,Binary cosine - recall,Binary euclidean - F-measure,Binary cosine - F-measure,TF euclidean - precision,TF cosine - precision,TF euclidean - recall,TF cosine - recall,TF euclidean - F-measure,TF cosine - F-measure,TF-IDF euclidean - precision,TF-IDF cosine - precision,TF-IDF euclidean - recall,TF-IDF cosine - recall,TF-IDF euclidean - F-measure,TF-IDF cosine - F-measure
93,0.0,0.13333333333333333,0.0,1.0,0,0.23529411764705882,0.06666666666666667,0.13333333333333333,0.5,1.0,0.11764705882352941,0.23529411764705882,0.13333333333333333,0.13333333333333333,1.0,1.0,0.23529411764705882,0.23529411764705882
94,0.0,0.26666666666666666,0.0,0.3076923076923077,0,0.28571428571428575,0.26666666666666666,0.3333333333333333,0.3076923076923077,0.38461538461538464,0.28571428571428575,0.3571428571428571,0.4,0.4,0.46153846153846156,0.46153846153846156,0.42857142857142855,0.42857142857142855
95,0.0,0.13333333333333333,0.0,0.6666666666666666,0,0.2222222222222222,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2,0.2,1.0,1.0,0.33333333333333337,0.33333333333333337
96,0.0,0.2,0.0,0.21428571428571427,0,0.20689655172413796,0.13333333333333333,0.06666666666666667,0.14285714285714285,0.07142857142857142,0.1379310344827586,0.0689655172413793,0.4,0.4666666666666667,0.42857142857142855,0.5,0.4137931034482759,0.4827586206896552
97,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
98,0.0,0.06666666666666667,0.0,0.16666666666666666,0,0.09523809523809522,0.0,0.06666666666666667,0.0,0.16666666666666666,0,0.09523809523809522,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.09523809523809522,0.09523809523809522
99,0.0,0.06666666666666667,0.0,0.2,0,0.1,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.2,0.2,0.1,0.1
100,0.0,0.2,0.0,0.3,0,0.24,0.3333333333333333,0.26666666666666666,0.5,0.4,0.4,0.32,0.3333333333333333,0.3333333333333333,0.5,0.5,0.4,0.4
101,0.0,0.06666666666666667,0.0,0.14285714285714285,0,0.09090909090909091,0.2,0.2,0.42857142857142855,0.42857142857142855,0.27272727272727276,0.27272727272727276,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.7142857142857143,0.4545454545454545,0.4545454545454545
102,0.06666666666666667,0.06666666666666667,0.2,0.2,0.1,0.1,0.0,0.06666666666666667,0.0,0.2,0,0.1,0.13333333333333333,0.13333333333333333,0.4,0.4,0.2,0.2
103,0.0,0.06666666666666667,0.0,0.3333333333333333,0,0.1111111111111111,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
104,0.0,0.13333333333333333,0.0,0.3333333333333333,0,0.19047619047619044,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.09523809523809522,0.09523809523809522,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.09523809523809522,0.09523809523809522
105,0.0,0.2,0.0,0.5,0,0.28571428571428575,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.19047619047619044,0.19047619047619044,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.3809523809523809,0.3809523809523809
106,0.0,0.06666666666666667,0.0,0.16666666666666666,0,0.09523809523809522,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.09523809523809522,0.09523809523809522,0.26666666666666666,0.26666666666666666,0.6666666666666666,0.6666666666666666,0.3809523809523809,0.3809523809523809
107,0.0,0.06666666666666667,0.0,0.125,0,0.08695652173913045,0.0,0.06666666666666667,0.0,0.125,0,0.08695652173913045,0.2,0.2,0.375,0.375,0.26086956521739135,0.26086956521739135
108,0.0,0.2,0.0,0.375,0,0.26086956521739135,0.26666666666666666,0.2,0.5,0.375,0.3478260869565218,0.26086956521739135,0.4666666666666667,0.4666666666666667,0.875,0.875,0.608695652173913,0.608695652173913
109,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
110,0.06666666666666667,0.0,0.2,0.0,0.1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
111,0.0,0.06666666666666667,0.0,0.125,0,0.08695652173913045,0.2,0.26666666666666666,0.375,0.5,0.26086956521739135,0.3478260869565218,0.26666666666666666,0.3333333333333333,0.5,0.625,0.3478260869565218,0.43478260869565216
112,0.0,0.06666666666666667,0.0,0.3333333333333333,0,0.1111111111111111,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.13333333333333333,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222
113,0.0,0.13333333333333333,0.0,0.4,0,0.2,0.0,0.06666666666666667,0.0,0.2,0,0.1,0.06666666666666667,0.06666666666666667,0.2,0.2,0.1,0.1
114,0.0,0.06666666666666667,0.0,0.2,0,0.1,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.2,0.2,0.1,0.1
115,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
116,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.06666666666666667,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.09523809523809522,0.09523809523809522
